System requirement ID,Description,Software requirement ID,Description,Software Item ID,Description,Software Unit ID,Description,Unit test ID,Item Test ID,System test ID, Safety Class,Hazard ID
,,,,,,SU0402-03,Synchronize features across sessions,SUT0402-03,,,,
,,,,SI04-03,audit logging backend,SU0403-01,"Create an audit logging backend to record and retrieve user actions and access logs, supporting data export and filtering capabilities",SUT0403-01,SIT04-03,,A,HZ 4.3.1
,,,,,,SU0403-02,Append log entries from services,SUT0403-02,,,,
,,,,SI04-04,file management backend,SU0404-01,"backend that allows secure uploading, downloading, categorization, and deletion of application files.",SUT0404-01,SIT04-04,,B,HZ 4.4.1
,,,,,,SU0404-02,Maintain file metadata,SUT0404-02,,,,
,,,,,,SU0404-03,Manage file permissions,SUT0404-03,,,,
,,,,SI04-05,setting management backend,SU0405-01,backend to store and retrieve application preferences,SUT0405-01,SIT04-05,,B,HZ 4.5.1
,,,,,,SU0405-02, Load settings defaults,SUT0405-02,,,,
,,,,,,SU0405-03,Save and update user preferences,SUT0405-03,,,,
,,,,SI04-06,language management backend,SU0406-01,compute english locale API,SUT0406-01,SIT04-06,,B,HZ 4.6.1
,,,,,,SU0406-02,compute traditional chineese locale API,SUT0406-02,,,,
,,,,,,SU0406-03,Fetch and apply localization data,SUT0406-03,,,,
MR05,Messaging Queue,SR05, The software shall manage all events and messagings for data integration,SI05-01,pub/sub and event management,SU0501-01,Manage event subscriptions,SUT0501-01,SIT05-01,SRT05,B,HZ 5.1.1
,,,,,,SU0501-02, Dispatch and log event messages,SUT0501-02,,,,
,,,,,,SU0501-03,Retry failed message deliveries,SUT0501-03,,,,
MR6,Data Pre Processing,SR06,The software shall manage pre-processing for data pipeline,SI06-01,pre-processing data pipeline,SU0601-01,filtering,SUT0601-01,SIT06-01,SRT06,B,HZ 6.1.1
,,,,,,SU0601-02,normalization,SUT0601-02,,,,
MR7,Machine Learning Inference,SR07,The software shall manage inference for ML model,SI07-01,ML model inference,SU0701-01,dental segmentation tasks,SUT0701-01,SIT07-01,SRT07,A,HZ 7.1.1
MR8,Data Post Processing ,SR08,The software shall manage post-processing for data pipeline,SI08-01,post-processing data pipeline,SU0801-01,contour extraction,SUT0801-01,SIT08-01,SRT08,A,HZ 8.1.1
,,,,,,SU0801-02,Anatomy structure locating,SUT0801-02,,,,
,,,,,,SU0801-03,Anatomy structure enhancement,SUT0801-03,,,,
MR9,Data Lake,SR09, The software shall manage catalog for datasets,SI09-01,storage for unstructure data,SU0901-01,"store data with metadata, and versioning for iDental datasets",SUT0901-01,SIT09-01,SRT09,B,HZ 9.1.1
MR10,Database,SR10,The software shall manage the database for all iDental Services,SI10-01,storage for structure data,SU1001-02,Indexing,SUT1001-02,SIT10-01,SRT10,B,HZ 10.1.1
,,,,,,SU1001-03,Backup and restore functionality,SUT1001-03,,,,
MR11,User manual/ Quick start guide,-,-,-,-,-,-,-,-,-,-,-
MR12,Label,SR12,The software shall manage the machine learning labelling for machine learning,,,,,,,,,
